# mode=manual | scenario=CycloneBaseCase | db=— | selection=— | sweeps=Zs(0.4→2, 10pts) | runs=10 | exported=2026-06-01
10
73
USE_larmor USE_coll USE_turb USE_magnturb USE_freq USE_polar USE_PC USE_real USE_corr USE_balloon USE_tilt USE_testing t0 tc tt tmax Nt Nreal Nc Nloop Np ntraj Ti Te Zeff Aeff ndens Ln Li Le magnetic_model B0 R0 a0 s1 s2 s3 amp elong device shot shotslice Omgt0 Omgtprim turb_model x_corr y_corr t_corr Phi turbprof Ai lambdax lambday lambdaz lbalonz tauc k0i k0e gamma_ZF X0 Y0 Z0 Ts Es pitch As Zs position_type annulus_width pitch_type energy_type Lns Lts
1 0 1 0 1 0 0 0 0 1 1 0 0 -1 -1 50 1000 1 50 1 100000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 1 1 1 0.05 5 1 5 5 100 1.5 5 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 0.4 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 0 -1 -1 50 1000 1 50 1 100000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 1 1 1 0.05 5 1 5 5 100 1.5 5 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 0.57777778 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 0 -1 -1 50 1000 1 50 1 100000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 1 1 1 0.05 5 1 5 5 100 1.5 5 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 0.75555556 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 0 -1 -1 50 1000 1 50 1 100000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 1 1 1 0.05 5 1 5 5 100 1.5 5 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 0.93333333 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 0 -1 -1 50 1000 1 50 1 100000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 1 1 1 0.05 5 1 5 5 100 1.5 5 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1.1111111 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 0 -1 -1 50 1000 1 50 1 100000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 1 1 1 0.05 5 1 5 5 100 1.5 5 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1.2888889 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 0 -1 -1 50 1000 1 50 1 100000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 1 1 1 0.05 5 1 5 5 100 1.5 5 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1.4666667 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 0 -1 -1 50 1000 1 50 1 100000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 1 1 1 0.05 5 1 5 5 100 1.5 5 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1.6444444 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 0 -1 -1 50 1000 1 50 1 100000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 1 1 1 0.05 5 1 5 5 100 1.5 5 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1.8222222 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 0 -1 -1 50 1000 1 50 1 100000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 1 1 1 0.05 5 1 5 5 100 1.5 5 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 2 3 0.1 2 2 0 0
