# mode=manual | scenario=CycloneBaseCase | db=— | selection=— | sweeps=annulus_width(0.001→0.5, 10pts) | runs=10 | exported=2026-06-09
10
73
USE_larmor USE_coll USE_turb USE_magnturb USE_freq USE_polar USE_PC USE_real USE_corr USE_balloon USE_tilt USE_testing t0 tc tt tmax Nt Nreal Nc Nloop Np ntraj Ti Te Zeff Aeff ndens Ln Li Le magnetic_model B0 R0 a0 s1 s2 s3 amp elong device shot shotslice Omgt0 Omgtprim turb_model x_corr y_corr t_corr Phi turbprof Ai lambdax lambday lambdaz lbalonz tauc k0i k0e gamma_ZF X0 Y0 Z0 Ts Es pitch As Zs position_type annulus_width pitch_type energy_type Lns Lts
1 0 1 0 1 0 0 0 0 1 1 0 30 -1 -1 0 1000 1 50 1 50000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.01 5 1 5 5 10 1.5 10 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1 3 0.001 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 30 -1 -1 0 1000 1 50 1 50000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.01 5 1 5 5 10 1.5 10 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1 3 0.056444444 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 30 -1 -1 0 1000 1 50 1 50000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.01 5 1 5 5 10 1.5 10 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1 3 0.11188889 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 30 -1 -1 0 1000 1 50 1 50000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.01 5 1 5 5 10 1.5 10 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1 3 0.16733333 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 30 -1 -1 0 1000 1 50 1 50000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.01 5 1 5 5 10 1.5 10 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1 3 0.22277778 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 30 -1 -1 0 1000 1 50 1 50000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.01 5 1 5 5 10 1.5 10 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1 3 0.27822222 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 30 -1 -1 0 1000 1 50 1 50000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.01 5 1 5 5 10 1.5 10 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1 3 0.33366667 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 30 -1 -1 0 1000 1 50 1 50000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.01 5 1 5 5 10 1.5 10 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1 3 0.38911111 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 30 -1 -1 0 1000 1 50 1 50000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.01 5 1 5 5 10 1.5 10 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1 3 0.44455556 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 30 -1 -1 0 1000 1 50 1 50000 10 3 3 1 1 5 2.2 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.01 5 1 5 5 10 1.5 10 0.05 0.05 0 1.95 0 0 1 0.1 0.4 1 1 3 0.5 2 2 0 0
