10
66
t0 tc tt tmax Np Nc Nloop Nreal Nt ntraj Ti Te Zeff Aeff ndens Ln Li Le magnetic_model B0 R0 a0 safe1 safe2 safe3 amp elong device shot shotslice Omgt0 Omgtprim Phi turbprof Ai lambdax lambday lambdaz lbalonz tauc k0i k0e gamma_ZF X0 Y0 Z0 Tw Ew pitch Aw Zw position_type pitch_type energy_type USE_larmor USE_coll USE_turb USE_magnturb USE_freq USE_polar USE_PC USE_real USE_corr USE_balloon USE_tilt USE_testing
0 -1 -1 60 50000 100 1 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 0.05 5 1 5 5 1 2 10 0.05 0.05 0 1.75 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 0 0 0 0 1 1 0
0 -1 -1 60 50000 100 1 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 0.05 5 1 5 5 1 2 10 0.05 0.05 0 1.7944444 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 0 0 0 0 1 1 0
0 -1 -1 60 50000 100 1 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 0.05 5 1 5 5 1 2 10 0.05 0.05 0 1.8388889 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 0 0 0 0 1 1 0
0 -1 -1 60 50000 100 1 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 0.05 5 1 5 5 1 2 10 0.05 0.05 0 1.8833333 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 0 0 0 0 1 1 0
0 -1 -1 60 50000 100 1 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 0.05 5 1 5 5 1 2 10 0.05 0.05 0 1.9277778 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 0 0 0 0 1 1 0
0 -1 -1 60 50000 100 1 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 0.05 5 1 5 5 1 2 10 0.05 0.05 0 1.9722222 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 0 0 0 0 1 1 0
0 -1 -1 60 50000 100 1 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 0.05 5 1 5 5 1 2 10 0.05 0.05 0 2.0166667 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 0 0 0 0 1 1 0
0 -1 -1 60 50000 100 1 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 0.05 5 1 5 5 1 2 10 0.05 0.05 0 2.0611111 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 0 0 0 0 1 1 0
0 -1 -1 60 50000 100 1 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 0.05 5 1 5 5 1 2 10 0.05 0.05 0 2.1055556 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 0 0 0 0 1 1 0
0 -1 -1 60 50000 100 1 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 0.05 5 1 5 5 1 2 10 0.05 0.05 0 2.15 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 0 0 0 0 1 1 0
